osm_id,lat,lon,tags
node/272236957,52.5218484,13.3283257,"{""amenity"": ""post_box"", ""check_date"": ""2026-08-13"", ""check_date:collection_times"": ""2026-08-13"", ""collection_times"": ""Mo-Fr 17:00; Sa 14:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Franklinstr. 16-17, 10587 Berlin""}"
node/273749236,52.4611594,13.3450595,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 14:00,16:00; Sa 12:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Thorwaldsenstr./Göttinger Str., 12157 Berlin""}"
node/272706302,52.5168345,13.4539521,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 15:30,17:30; Sa 14:30"", ""collection_times:signed"": ""no"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Petersburger Str. 99, 10249 Berlin""}"
node/273437186,52.5160796,13.4551362,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2026-08-20"", ""collection_times"": ""Mo-Fr 17:30; Sa 14:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Frankfurter Allee 1, 10247 Berlin""}"
node/274280296,52.4654706,13.4422596,"{""amenity"": ""post_box"", ""check_date"": ""2020-11-18"", ""collection_times"": ""Mo-Fr 14:00,16:45; Sa 15:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""post_box:apertures"": ""2"", ""post_box:type"": ""lamp"", ""postal_code"": ""12057"", ""ref"": ""Karl-Marx-Str. 262, 12057 Berlin"", ""support"": ""pole""}"
node/276667542,52.438385,13.3439613,"{""amenity"": ""post_box"", ""brand"": ""Deutsche Post"", ""check_date:collection_times"": ""2026-08-09"", ""collection_times"": ""Mo-Fr 16:00; Sa 13:45"", ""colour"": ""yellow"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""post_box:apertures"": ""2"", ""post_box:type"": ""lamp"", ""ref"": ""Leonorenstr. 70, 12247 Berlin"", ""wheelchair"": ""yes""}"
node/276759089,52.4692072,13.4327812,"{""amenity"": ""post_box"", ""check_date"": ""2024-03-20"", ""collection_times"": ""Mo-Fr 14:00,16:30; Sa 12:45"", ""colour"": ""yellow"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""post_box:apertures"": ""1"", ""post_box:type"": ""pillar"", ""postal_code"": ""12051"", ""ref"": ""Altenbraker Str./Nogatstr., 12051 Berlin""}"
node/277105186,52.4973383,13.3903212,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 15:15,18:15,21:00; Sa 14:00; Su 21:00"", ""count"": ""2"", ""last_checked"": ""2020-08-23"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Tempelhofer Ufer 1, 10961 Berlin""}"
node/275367138,52.5462204,13.3597632,"{""access"": ""yes"", ""addr:floor"": ""0"", ""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 16:00; Sa 12:00"", ""covered"": ""no"", ""drive_through"": ""no"", ""indoor"": ""no"", ""level"": ""0"", ""material"": ""steel"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""post_box:type"": ""pillar"", ""ref"": ""Müllerstr. 25, 13353 Berlin"", ""source"": ""survey"", ""support"": ""poles""}"
node/278145373,52.4663821,13.1198345,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 16:00; Sa 12:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""ref"": ""Seekorso 20, 14089 Berlin""}"
